Street,StatZone
א סלט,633
אבן אל מוקפע,611
אהבת ישראל,643
אהבת ציון,622
אושה,631
אחד העם,632
אימבר,634
אליעזר,643
אמיר,633
בילו,641
בית שערים,612
ביתר,642
בלום לאון,623
בן שמן,632
בצלאל,642
ברוולד,633
ברזילי,641
ברכת משה,642
ברק,641
גולומב אליהו,621
גוש חלב,634
דבורה,634
דניאל,633
"האר\""י",644
הבוסתן,611
הבישוף חג'אר,611
הדר,634
החשמונאים,621
הכרמים,612
המימוני,623
הנגב,643
העמק,621
הפועל,622
הפרסים,612
הקישון,641
הקנאים,622
הרב מרכוס,634
הרצליה,632
השומר,641
השחר,621
השילוח,642
השמש,634
חבס הכהן ברכה,621
חברון,613
חדרה,641
חיים,631
חנה סנש,623
חרמון,642
טבריה,613
פרץ י ל,633
יבנה,633
יהושע,631
יואל,633
יוסף הגדם,631
יחיאל,634
"יל\""ג",641
ירושלים,631
כורי,633
כנרת,622
לבונטין,632
לברי מרק,623
לוד,634
לונץ,634
לוצטו,622
מוסול,612
מירון,621
מלצ'ט,631
מסדה,613
מקור ברוך,643
משעול תורת חיים,644
נועה,641
סטלה מריס,611
סירקין,634
עומר אל כיאם,633
עמוס,633
עמק הזיתים,632
עקרון,634
עתלית,633
פבזנר,631
פועה,612
פקיעין,621
פרישמן,631
צידון,633
ציפורי,632
צפורה זייד,622
קניאל,644
קסל,632
ראש פינה,641
"רמב""ן",622
"רמב""ן",623
"רש\""י",622
שבתאי לוי,632
שבתאי לוי,633
שיבת ציון,633
שלהוב ג'מיל,611
שמאי,621
שמש,634
שפירא,634
שפרה,612
שפרעם,632
תל חי,631
